method,image_index,global_ciede2000_mean,patch_ciede2000_mean,patch_ciede2000_p95,top10_patch_ciede2000,max_patch_ciede2000,mean_signed_delta_a,mean_signed_delta_b,worst_patch_x,worst_patch_y,worst_patch_size
Global continuation,36,3.7772483825683594,3.830951452255249,5.201174736022949,5.281523704528809,6.915116786956787,0.0045881569385528564,0.27668094635009766,29,120,5
Global continuation,37,2.7166104316711426,2.7120425701141357,3.884479522705078,4.007719993591309,5.580609321594238,-0.6985463500022888,0.6008749604225159,117,27,5
Global continuation,38,3.053629159927368,3.0562078952789307,5.20623254776001,5.301928520202637,7.193001747131348,1.0373575687408447,0.7458675503730774,45,74,5
Global continuation,39,2.9034981727600098,2.9727578163146973,4.486189484596252,4.609573841094971,6.6936259269714355,0.2395773082971573,-0.060688428580760956,88,75,5
Global continuation,40,3.829967975616455,3.8833820819854736,5.210788726806641,5.319602012634277,7.519263744354248,-0.10199591517448425,0.3088979125022888,77,80,5
Global continuation,41,2.013216972351074,2.0253095626831055,3.585363447666168,3.67700457572937,5.989051342010498,-0.7832847833633423,0.8040387630462646,9,76,5
Global continuation,42,3.6458897590637207,3.7285914421081543,5.181913495063782,5.270687580108643,6.878571033477783,-0.2690199315547943,0.3265404999256134,34,99,5
Global continuation,43,4.473412036895752,4.522716999053955,5.677038311958313,5.773730754852295,7.336799144744873,-0.7879189252853394,0.40942299365997314,40,74,5
Global continuation,44,2.6679134368896484,2.7040960788726807,4.73461389541626,4.846995830535889,6.779248237609863,-0.6109920144081116,0.593073308467865,107,114,5
Global continuation,45,3.466482639312744,3.509894371032715,4.805220365524292,4.910845756530762,6.525732517242432,-0.5188912153244019,0.4044785499572754,71,106,5
Global continuation,46,3.8432931900024414,3.861952066421509,4.848543882369995,4.928011894226074,7.052410125732422,-0.37849855422973633,0.3731341063976288,54,71,5
Global continuation,47,3.740020275115967,3.8294548988342285,5.206045627593994,5.297047138214111,6.667065620422363,-0.3514401912689209,0.5674061179161072,24,26,5
Global continuation,48,3.8080854415893555,3.8484346866607666,5.383456707000732,5.486968994140625,7.407400131225586,-0.3096775412559509,0.3661390542984009,22,98,5
Global continuation,49,3.654054880142212,3.731157064437866,5.097630143165588,5.210318565368652,7.536367893218994,-0.6009930372238159,0.7226675748825073,39,90,5
Hard Patch16 stride8 Top10,0,3.940016269683838,4.001559734344482,5.161510109901428,5.240839958190918,6.784869194030762,-0.3008541464805603,0.16472378373146057,58,84,5
Hard Patch16 stride8 Top10,1,3.406252145767212,3.461536407470703,4.705969452857971,4.783698558807373,6.494957447052002,-0.28102684020996094,0.1376289427280426,55,26,5
