model,image_index,global_mse,patch_mean_mse,top10_patch_mse,top25_patch_mse,max_patch_mse,patch_mse_std,patch_mse_cv,worst_global_ratio,max_global_ratio,local_ssim_top25,local_ssim_worst,local_lpips_top25,local_lpips_worst
No-crop Global,38,0.0017671873793005943,0.0017671873793005943,0.0027936850674450397,0.0026749931275844574,0.002850287826731801,0.000720715441275388,0.40783193707466125,1.5137008428573608,1.612895131111145,0.9259750843048096,0.9130757451057434,0.0010058917105197906,0.0010777584975585341
No-crop Global,39,0.0007038989569991827,0.0007038989569991827,0.0010604520794004202,0.000999421114102006,0.0011056503280997276,0.00020620861323550344,0.2929520010948181,1.4198360443115234,1.570751428604126,0.934047281742096,0.9062383770942688,0.0036037322133779526,0.008025208488106728
No-crop Global,40,0.000633812218438834,0.0006338122766464949,0.0008883397094905376,0.0008415302145294845,0.0008966540335677564,0.00013177792425267398,0.20791319012641907,1.327728033065796,1.4146997928619385,0.9830368161201477,0.9813728332519531,0.0007670759805478156,0.0009641116484999657
No-crop Global,41,0.00105196051299572,0.0010519606294110417,0.0017338995821774006,0.001562796882353723,0.001907762954942882,0.00036504535819403827,0.34701430797576904,1.485604166984558,1.8135309219360352,0.876899003982544,0.8587493896484375,0.001065689604729414,0.0013077943585813046
No-crop Global,42,0.0005991844809614122,0.0005991844227537513,0.0007891554851084948,0.0007618865347467363,0.0008141201105900109,0.00012975359277334064,0.2165503203868866,1.2715392112731934,1.3587136268615723,0.9246522188186646,0.9118420481681824,0.0023418485652655363,0.0032526194117963314
No-crop Global,43,0.0008875446510501206,0.0008875444764271379,0.0011885305866599083,0.0011242168257012963,0.001199814141727984,0.00021316656784620136,0.24017560482025146,1.2666594982147217,1.3518352508544922,0.8747214674949646,0.8676305413246155,0.007199625018984079,0.0112998578697443
No-crop Global,44,0.0008293916471302509,0.0008293916471302509,0.0014490694738924503,0.0013142410898581147,0.0016771540977060795,0.0003335859510116279,0.40220558643341064,1.5845844745635986,2.0221498012542725,0.918850302696228,0.8999369144439697,0.0005882502300664783,0.0007123675895854831
No-crop Global,45,0.0005848199944011867,0.0005848199361935258,0.000971954083070159,0.000861523614730686,0.0011448417790234089,0.00020678661530837417,0.353590190410614,1.473143219947815,1.9575968980789185,0.945543110370636,0.9258570671081543,0.0019960282370448112,0.0028293230570852757
No-crop Global,46,0.0010574269108474255,0.0010574269108474255,0.0012573370477184653,0.001178896869532764,0.0012890921207144856,9.940293966792524e-05,0.0940045490860939,1.1148731708526611,1.2190839052200317,0.9849779605865479,0.9825660586357117,0.0004494540044106543,0.000527868396602571
No-crop Global,47,0.0004789535596501082,0.0004789535596501082,0.0007700362475588918,0.0006622051005251706,0.0008269536192528903,0.00013229915930423886,0.2762254476547241,1.38260817527771,1.7265841960906982,0.9407990574836731,0.9385760426521301,0.005820607766509056,0.00973181240260601
No-crop Global,48,0.0008486826554872096,0.0008486827136948705,0.0011197681305930018,0.0010678431717678905,0.0011369112180545926,0.00018972100224345922,0.22354763746261597,1.2582361698150635,1.3396188020706177,0.9678791761398315,0.961139976978302,0.0011064871214330196,0.0013890777481719851
No-crop Global,49,0.0005950756603851914,0.0005950756603851914,0.0011382983066141605,0.0009296105708926916,0.0014231180539354682,0.00025351456133648753,0.42602071166038513,1.5621720552444458,2.391490936279297,0.9339832067489624,0.91692715883255,0.0008613272220827639,0.0011866301065310836
Crop-trained Global,0,0.0014753647847101092,0.0014753646682947874,0.0017486378783360124,0.0016781068406999111,0.0018697107443585992,0.00015537790022790432,0.10531490296125412,1.137418270111084,1.2672871351242065,0.8299630284309387,0.8166141510009766,0.0019166325218975544,0.0025430989917367697
Crop-trained Global,1,0.0011864796979352832,0.0011864796979352832,0.0014174781972542405,0.001330131315626204,0.0015070816734805703,0.00011978238762822002,0.10095611959695816,1.121073842048645,1.2702127695083618,0.9280406832695007,0.915253221988678,0.0013765025651082397,0.0020217876881361008
Crop-trained Global,2,0.0013092387234792113,0.0013092387234792113,0.001510145142674446,0.0014833960449323058,0.0015151057159528136,0.0001729494979372248,0.13209928572177887,1.1330218315124512,1.157241702079773,0.9600697755813599,0.9449579119682312,0.0007735767285339534,0.0008242717594839633
Crop-trained Global,3,0.0011507326271384954,0.0011507326271384954,0.0012977579608559608,0.0012581234332174063,0.001316407578997314,7.615608046762645e-05,0.066180519759655,1.093323826789856,1.143973469734192,0.9325523376464844,0.9240875244140625,0.0038509336300194263,0.005510557442903519
Crop-trained Global,4,0.001139736152254045,0.001139736152254045,0.0013898166362196207,0.001321911928243935,0.0014320500195026398,0.00013716115790884942,0.12034466117620468,1.1598403453826904,1.2564750909805298,0.8651512265205383,0.8367490172386169,0.0022851782850921154,0.003900500712916255
Crop-trained Global,5,0.0012788322055712342,0.001278832321986556,0.0016046760138124228,0.0015613149153068662,0.0016149567672982812,0.00020309683168306947,0.15881429612636566,1.2208911180496216,1.2628370523452759,0.9318116307258606,0.9212538599967957,0.0017955879447981715,0.002219980815425515
Crop-trained Global,6,0.0017071383772417903,0.0017071382608264685,0.0023808772675693035,0.002117152325809002,0.0027039421256631613,0.00034717077505774796,0.20336416363716125,1.2401762008666992,1.5839033126831055,0.9223341941833496,0.9120598435401917,0.003067395184189081,0.003746332135051489
