method,image_index,crop_ratio,repeat,protected_bits,raw_ber,raw_bit_accuracy,detection_success,exact_decode_success,ecc_corrected_success,schema,logit_mean,logit_abs_mean
TrustMark Q,6,100%,4,100,0.0,1.0,1,1,1,1,1.9880915880203247,10.10710620880127
TrustMark Q,6,70%,0,100,0.0,1.0,1,1,1,1,1.5434948205947876,8.307476997375488
TrustMark Q,6,70%,1,100,0.0,1.0,1,1,1,1,1.2773691415786743,8.801277160644531
TrustMark Q,6,70%,2,100,0.0,1.0,1,1,1,1,1.570249319076538,9.108189582824707
TrustMark Q,6,70%,3,100,0.01,0.99,1,1,1,1,1.4042809009552002,8.322000503540039
TrustMark Q,6,70%,4,100,0.0,1.0,1,1,1,1,1.511476755142212,9.121459007263184
TrustMark Q,6,50%,0,100,0.05,0.95,1,1,1,1,1.2934077978134155,5.242709159851074
TrustMark Q,6,50%,1,100,0.02,0.98,1,1,1,1,0.8697457909584045,6.475686073303223
TrustMark Q,6,50%,2,100,0.03,0.97,1,1,1,1,0.7605190873146057,6.270501613616943
TrustMark Q,6,50%,3,100,0.03,0.97,1,1,1,1,0.5412445664405823,4.538110256195068
TrustMark Q,6,50%,4,100,0.05,0.95,1,1,1,1,0.9914839267730713,5.8685994148254395
TrustMark Q,6,40%,0,100,0.06,0.94,0,0,0,-1,0.8445044755935669,4.130764961242676
TrustMark Q,6,40%,1,100,0.03,0.97,1,1,1,1,0.9620369076728821,4.38285493850708
TrustMark Q,6,40%,2,100,0.11,0.89,0,0,0,-1,0.013218827545642853,2.6922314167022705
TrustMark Q,6,40%,3,100,0.07,0.9299999999999999,0,0,0,-1,0.7329828143119812,3.0966460704803467
TrustMark Q,6,40%,4,100,0.02,0.98,1,1,1,1,0.3197074830532074,4.31351375579834
TrustMark Q,6,30%,0,100,0.23,0.77,0,0,0,-1,-0.11884189397096634,1.235796332359314
TrustMark Q,6,30%,1,100,0.21,0.79,0,0,0,-1,0.4216494858264923,1.8577377796173096
TrustMark Q,6,30%,2,100,0.08,0.92,0,0,0,-1,0.5590803623199463,2.5330371856689453
TrustMark Q,6,30%,3,100,0.22,0.78,0,0,0,-1,0.0805167555809021,1.6525700092315674
