image_id,validation_index,source_filename,PSNR_base,PSNR_ours,local_PSNR_base,local_PSNR_ours,delta_local_PSNR,P95_base,P95_ours,delta_P95,Gini_base,Gini_ours,dense_P16S8_mean_improvement,patch_RGB_MSE_base_mean,patch_RGB_MSE_ours_mean,absolute_residual_energy_base,absolute_residual_energy_ours,roi_x,roi_y,roi_size,roi_mse_improvement,roi_texture_energy,roi32_improvement,roi40_improvement,roi48_improvement,roi64_improvement,ranking_grid,roi_search_grid,rank
0818,17,0818.png,36.24148049113402,36.5780733182583,35.6046025175703,35.83495194463039,0.23034942706009076,0.0002755623499979265,0.0002679002209333703,7.662129064556211e-06,0.07048905724887482,0.07501795425005436,1.8327227735426277e-05,0.0002376030315645039,0.00021988351363688707,0.01196245476603508,0.011508414521813393,16,28,32,4.1456412873230875e-05,0.037397269159555435,4.1456412873230875e-05,3.784055821597576e-05,3.554430117623674e-05,2.9985609216964804e-05,native32_nonoverlap,pixel residual map; stride4 candidates,21
0813,12,0813.png,35.68900782430427,35.92009443896782,33.98312321579957,34.210931004717395,0.22780778891782205,0.0004863358844886534,0.0004649664697353728,2.136941475328058e-05,0.1666423004592211,0.16313347519236604,1.4680431377200875e-05,0.0002698355820029974,0.0002558529668021947,0.012402578257024288,0.012072846293449402,88,24,32,4.7788023948669434e-05,0.05586761236190796,4.7788023948669434e-05,4.3777651153504845e-05,4.047315774692429e-05,2.982025580422487e-05,native32_nonoverlap,pixel residual map; stride4 candidates,22
0836,35,0836.png,35.51480412623823,35.77439766950528,34.47438104264534,34.69554562416891,0.221164581523567,0.00036396412906469777,0.00034851050440920517,1.5453624655492604e-05,0.11414949428171219,0.12116078000478511,1.6960815628408454e-05,0.00028087920509278774,0.0002645819040481001,0.012983069755136967,0.012597275897860527,8,8,32,3.263022881583311e-05,0.06216687336564064,3.263022881583311e-05,2.5844050105661155e-05,2.498310641385615e-05,2.2477866878034547e-05,native32_nonoverlap,pixel residual map; stride4 candidates,23
0826,25,0826.png,35.94549695482246,36.16586895603375,34.60982079391862,34.826493775967826,0.2166729820492037,0.0003532173723215237,0.00033580933086341247,1.7408041458111256e-05,0.13394680083882776,0.12907484268429634,1.3291962204675656e-05,0.000254360813414678,0.0002417759969830513,0.012264534831047058,0.011997899040579796,56,8,32,2.7467103791423142e-05,0.07811380922794342,2.7467103791423142e-05,2.3866826668381692e-05,2.325825173304313e-05,2.2003468984621577e-05,native32_nonoverlap,pixel residual map; stride4 candidates,24
0849,48,0849.png,36.08226228017765,36.26490048354317,35.54565037899514,35.75754774317339,0.2118973641782489,0.00028488438692875206,0.0002703905338421464,1.4493853086605668e-05,0.05980934219623186,0.055744081433750585,1.0666101843526121e-05,0.0002464755089022219,0.00023632512602489442,0.012360462918877602,0.012122838757932186,8,80,32,2.7771809982368723e-05,0.12938833236694336,2.7771809982368723e-05,2.414486836642027e-05,2.104767514134033e-05,1.529218025098089e-05,native32_nonoverlap,pixel residual map; stride4 candidates,25
0847,46,0847.png,36.277510261140044,36.45168816020751,35.12269023503967,35.32494496902662,0.2022547339869476,0.00033747233101166785,0.00031107661925489083,2.639571175677702e-05,0.13913677097696242,0.136858383032048,9.701220733404625e-06,0.00023564003640785813,0.00022637640358880162,0.011594809591770172,0.011375954374670982,24,8,32,3.749931784113869e-05,0.08722607791423798,3.749931784113869e-05,3.03780403919518e-05,2.7794785435414975e-05,2.0273302652640268e-05,native32_nonoverlap,pixel residual map; stride4 candidates,26
0817,16,0817.png,34.28920332310022,34.46511393705575,32.751285524875364,32.95107616508002,0.19979064020465387,0.0005575052346102893,0.0005379962240112945,1.950901059899479e-05,0.17600449583529051,0.17335437893986708,1.4335670130094513e-05,0.0003724600246641785,0.00035767501685768366,0.014667837880551815,0.014381776563823223,28,12,32,4.1397583117941394e-05,0.04556002467870712,4.1397583117941394e-05,3.8047656416893006e-05,3.646157953577737e-05,2.9223010642454028e-05,native32_nonoverlap,pixel residual map; stride4 candidates,27
0821,20,0821.png,35.57528103533216,35.724382763616156,34.77980440891737,34.979533804029266,0.1997293951118948,0.00033471122151240706,0.00032260951411444694,1.2101707397960126e-05,0.09912335495485,0.09172269664172467,1.0117271813214757e-05,0.0002769950369838625,0.00026764662470668554,0.01297943014651537,0.012786741368472576,48,88,32,2.4942404706962407e-05,0.13439905643463135,2.4942404706962407e-05,2.2186075802892447e-05,1.9422843858289223e-05,1.4781683603359852e-05,native32_nonoverlap,pixel residual map; stride4 candidates,28
0806,5,0806.png,36.352434030634996,36.540082546186724,35.671798963020514,35.86161713461385,0.18981817159333758,0.00027570084057515487,0.0002645674758241512,1.1133364751003683e-05,0.06982596254668247,0.06958956714804836,1.0014990039053373e-05,0.00023160959244705737,0.00022181536769494414,0.011901197955012321,0.011647039093077183,60,32,32,2.478012174833566e-05,0.049931712448596954,2.478012174833566e-05,2.0038948860019447e-05,1.967109791520569e-05,1.5294228433049284e-05,native32_nonoverlap,pixel residual map; stride4 candidates,29
0823,22,0823.png,36.40231506603826,36.71844928088491,35.90606671555153,36.084451526150715,0.17838481059918365,0.0002585674883448519,0.0002480269395164214,1.0540548828430474e-05,0.0560030619921022,0.07345646373613955,1.6401958419010043e-05,0.00022896469454281032,0.00021288986317813396,0.011808892711997032,0.011384043842554092,68,8,32,3.044478944502771e-05,0.01274704746901989,3.044478944502771e-05,2.6741016190499066e-05,2.450522151775658e-05,2.3803546355338767e-05,native32_nonoverlap,pixel residual map; stride4 candidates,30
