image_id,validation_index,source_filename,delta_local_psnr,delta_p95,max_positive_d_patch,positive_d_patch_area,top10_residual_reduction,roi_mse_improvement,roi_x,roi_y,roi_size,roi32_improvement,roi40_improvement,roi48_improvement,roi64_improvement,patch_mse_base_mean,patch_mse_ours_mean,semantic_proxy_mean_rgb,semantic_proxy_texture,rank,content_diversity_distance
0809,8,0809.png,0.751547057640451,0.0001374848507111892,0.00023919390514492989,1.0,0.00405694916844368,0.0002854841877706349,28,52,32,0.0002854841877706349,0.0002478772401809692,0.000223067459753818,0.00020610350475180894,0.0007631544722244143,0.0006077499710954726,0.43480050563812256,0.03164387866854668,33,
0847,46,0847.png,0.721821870669082,0.00011612485104706138,0.0001758378348313272,1.0,0.003078605979681015,0.0001860442862380296,20,44,32,0.0001860442862380296,0.0001705346256494522,0.00015177921805944707,0.00013248162576928735,0.0006586250965483487,0.0005469481693580747,0.4459592401981354,0.05094550549983978,34,
0827,26,0827.png,0.7174768046693458,0.0001157687947852537,0.0001384770730510354,1.0,0.0026075467467308044,0.00014809300773777068,52,64,32,0.00014809300773777068,0.00014425644651055335,0.00013461822850836648,0.00012152300769230351,0.0005639127339236438,0.0004786754143424332,0.1424686461687088,0.0149943633005023,35,
0820,19,0820.png,0.7097941006982467,0.00012024343595840037,0.00020728458184748888,1.0,0.0028322748839855194,0.00022502582520246507,56,76,40,0.0002178656868636608,0.00022502582520246507,0.0002096012726219164,0.00019073033763561398,0.000647098058834672,0.0005428596050478518,0.5245850682258606,0.05083269253373146,36,
0804,3,0804.png,0.7072213041510658,0.00011203193571418524,0.00015758618246763945,1.0,0.002921711653470993,0.0001745634654071182,72,44,32,0.0001745634654071182,0.00017036184668540956,0.00015519983652565215,0.00013841950567439198,0.0006703089457005262,0.0005751519929617643,0.5133379101753235,0.048671506345272064,37,
0825,24,0825.png,0.6920886418043182,0.00013210023462306708,0.0002533325459808111,1.0,0.003928199410438538,0.0002730650082230568,8,24,40,0.00026855734176933765,0.0002730650082230568,0.00024197434282137288,0.00021030260541010648,0.0007241925923153758,0.0005808863788843155,0.474878191947937,0.05344182625412941,38,
0824,23,0824.png,0.6597275392813131,0.00011602074664551765,0.00016193054034374654,1.0,0.002213466912508011,0.00017815068713389337,60,92,32,0.00017815068713389337,0.00015615480951964856,0.00013997050053957436,0.00013450974074658006,0.0006387847242876887,0.0005512596108019352,0.496003657579422,0.04314515367150307,39,
0850,49,0850.png,0.6571400214353567,0.00014447889407165349,0.00021791711333207786,1.0,0.004265584051609039,0.0002477271482348442,76,92,32,0.0002477271482348442,0.00024406127631664275,0.00023267040443089273,0.00022170881857164204,0.0007080465438775718,0.0005502933636307716,0.4106020927429199,0.03605526313185692,40,
0814,13,0814.png,0.601874659042771,9.071483509615064e-05,0.0001498362107668072,1.0,0.002522282302379608,0.0001603347063064575,56,60,40,0.0001588724844623357,0.0001603347063064575,0.00013232782172660032,0.00011854871991090477,0.0005673437844961882,0.00048770642024464905,0.3490951955318451,0.017175432294607162,41,
0829,28,0829.png,0.5796250440247306,0.00013111415319144726,0.00023279781453311443,1.0,0.0039114803075790405,0.00035839647171087563,64,52,32,0.00035839647171087563,0.0003006597049534321,0.00023805489763617516,0.0001867385726654902,0.000927831744775176,0.0008101817220449448,0.3369382321834564,0.030423535034060478,42,
