model,checkpoint,checkpoint_sha256,alpha,psnr,ssim,lpips,local_psnr,p95_mse,gini,ciede2000,clip_fraction,clip_flag_over_1pct,clip_flag_over_5pct
candidate_worst_patch16_weight50_seed41_128_m64_crop,/mnt/wmcontent/GLX/icassp/MBRS/experiments/runs/candidate_worst_patch16_weight50_seed41_128_m64_crop/checkpoint_0100.pth,9f1d09c7fcedacd724baf078eaf98a75b328d75e76fc364c0594501363148040,3.0,26.781831122831306,0.7982417476177216,0.02752204308286309,26.138278516115882,0.0025675816863076763,0.07554399594861869,10.087235565185546,0.018956298008561134,True,False
candidate_worst_patch16_weight50_seed41_128_m64_crop,/mnt/wmcontent/GLX/icassp/MBRS/experiments/runs/candidate_worst_patch16_weight50_seed41_128_m64_crop/checkpoint_0100.pth,9f1d09c7fcedacd724baf078eaf98a75b328d75e76fc364c0594501363148040,4.0,24.344628880488308,0.7232481342554092,0.04657120581716299,23.706253997903218,0.004491122456965968,0.07514449325765599,12.607125434875488,0.028063558042049408,True,False
candidate_worst_patch16_weight50_seed41_128_m64_crop,/mnt/wmcontent/GLX/icassp/MBRS/experiments/runs/candidate_worst_patch16_weight50_seed41_128_m64_crop/checkpoint_0100.pth,9f1d09c7fcedacd724baf078eaf98a75b328d75e76fc364c0594501363148040,5.0,22.47198198792124,0.6559481298923493,0.0686306206136942,21.840147143975535,0.006896284411195666,0.07468442377010033,14.783680686950683,0.037863362580537796,True,False
candidate_worst_patch16_weight75_seed17_128_m64_crop,/mnt/wmcontent/GLX/icassp/MBRS/experiments/runs/candidate_worst_patch16_weight75_seed17_128_m64_crop/checkpoint_0100.pth,d4ad12baeb855e87456df545e8eed0743011bbb9ebdc7b5949dc4a9fef112784,1.0,33.79057028612459,0.936107085943222,0.005784882940351963,33.1416545262564,0.0005193782808782998,0.07857314477418635,4.5879738235473635,0.0,False,False
candidate_worst_patch16_weight75_seed17_128_m64_crop,/mnt/wmcontent/GLX/icassp/MBRS/experiments/runs/candidate_worst_patch16_weight75_seed17_128_m64_crop/checkpoint_0100.pth,d4ad12baeb855e87456df545e8eed0743011bbb9ebdc7b5949dc4a9fef112784,1.5,30.32184456620334,0.8830944502353668,0.013275617631152273,29.69232641010206,0.00114758578594774,0.07606908510456084,6.606631488800049,0.014875895343720913,True,False
candidate_worst_patch16_weight75_seed17_128_m64_crop,/mnt/wmcontent/GLX/icassp/MBRS/experiments/runs/candidate_worst_patch16_weight75_seed17_128_m64_crop/checkpoint_0100.pth,d4ad12baeb855e87456df545e8eed0743011bbb9ebdc7b5949dc4a9fef112784,2.0,27.881993992116154,0.829457801580429,0.023290093652904034,27.268223717916527,0.0020017910131718965,0.07395743713492992,8.430990142822266,0.02157796174287796,True,False
candidate_worst_patch16_weight75_seed17_128_m64_crop,/mnt/wmcontent/GLX/icassp/MBRS/experiments/runs/candidate_worst_patch16_weight75_seed17_128_m64_crop/checkpoint_0100.pth,d4ad12baeb855e87456df545e8eed0743011bbb9ebdc7b5949dc4a9fef112784,2.5,26.0052988628821,0.7781359541416168,0.03543777529150247,25.403997557429065,0.003067759865662083,0.07234759082077219,10.078719968795776,0.028865152969956398,True,False
candidate_worst_patch16_weight75_seed17_128_m64_crop,/mnt/wmcontent/GLX/icassp/MBRS/experiments/runs/candidate_worst_patch16_weight75_seed17_128_m64_crop/checkpoint_0100.pth,d4ad12baeb855e87456df545e8eed0743011bbb9ebdc7b5949dc4a9fef112784,3.0,24.484708645075457,0.7300398802757263,0.04938643442466855,23.893912054971015,0.004333470333367586,0.07108909689242933,11.5715087890625,0.03656819835305214,True,False
candidate_worst_patch16_weight75_seed17_128_m64_crop,/mnt/wmcontent/GLX/icassp/MBRS/experiments/runs/candidate_worst_patch16_weight75_seed17_128_m64_crop/checkpoint_0100.pth,d4ad12baeb855e87456df545e8eed0743011bbb9ebdc7b5949dc4a9fef112784,4.0,22.112731631053315,0.6438325798511505,0.08174556333571673,21.532448769549564,0.007429235999006778,0.06930575393695296,14.175146389007569,0.05189046263694763,True,True
candidate_worst_patch16_weight75_seed17_128_m64_crop,/mnt/wmcontent/GLX/icassp/MBRS/experiments/runs/candidate_worst_patch16_weight75_seed17_128_m64_crop/checkpoint_0100.pth,d4ad12baeb855e87456df545e8eed0743011bbb9ebdc7b5949dc4a9fef112784,5.0,20.301165449469888,0.5698552817106247,0.11799789354205131,19.728066571809574,0.011209245789796114,0.06814010545373177,16.38058485031128,0.06732787936925888,True,True
candidate_worst_patch16_weight75_seed29_128_m64_crop,/mnt/wmcontent/GLX/icassp/MBRS/experiments/runs/candidate_worst_patch16_weight75_seed29_128_m64_crop/checkpoint_0100.pth,e0b80725f451e3c864960bee7af7dded6f59a847fed3801a672b8f8b1431c440,1.0,34.903753115036935,0.9553969097137451,0.006214612447656691,33.96769537619929,0.00046149715228239075,0.11739579470289131,4.210794486999512,0.0,False,False
candidate_worst_patch16_weight75_seed29_128_m64_crop,/mnt/wmcontent/GLX/icassp/MBRS/experiments/runs/candidate_worst_patch16_weight75_seed29_128_m64_crop/checkpoint_0100.pth,e0b80725f451e3c864960bee7af7dded6f59a847fed3801a672b8f8b1431c440,1.5,31.47025668404034,0.9149253857135773,0.012739463783800602,30.549726236522297,0.0009918036044109613,0.11278410807750269,6.043458604812622,0.015224202536046505,True,False
candidate_worst_patch16_weight75_seed29_128_m64_crop,/mnt/wmcontent/GLX/icassp/MBRS/experiments/runs/candidate_worst_patch16_weight75_seed29_128_m64_crop/checkpoint_0100.pth,e0b80725f451e3c864960bee7af7dded6f59a847fed3801a672b8f8b1431c440,2.0,29.04570200678141,0.871252887248993,0.02097614682279527,28.14283577601144,0.001707869658130221,0.10895988240795733,7.710834093093872,0.02050577849149704,True,False
candidate_worst_patch16_weight75_seed29_128_m64_crop,/mnt/wmcontent/GLX/icassp/MBRS/experiments/runs/candidate_worst_patch16_weight75_seed29_128_m64_crop/checkpoint_0100.pth,e0b80725f451e3c864960bee7af7dded6f59a847fed3801a672b8f8b1431c440,2.5,27.175041201556542,0.827658965587616,0.030604528207331897,26.286570787796578,0.0025999768159817903,0.10562995792760614,9.229798574447631,0.026199543848633766,True,False
candidate_worst_patch16_weight75_seed29_128_m64_crop,/mnt/wmcontent/GLX/icassp/MBRS/experiments/runs/candidate_worst_patch16_weight75_seed29_128_m64_crop/checkpoint_0100.pth,e0b80725f451e3c864960bee7af7dded6f59a847fed3801a672b8f8b1431c440,3.0,25.65515493981077,0.7855650043487549,0.0413763440027833,24.782075325805735,0.0036550696403719485,0.10266776783055667,10.615743160247803,0.032152507454156876,True,False
candidate_worst_patch16_weight75_seed29_128_m64_crop,/mnt/wmcontent/GLX/icassp/MBRS/experiments/runs/candidate_worst_patch16_weight75_seed29_128_m64_crop/checkpoint_0100.pth,e0b80725f451e3c864960bee7af7dded6f59a847fed3801a672b8f8b1431c440,4.0,23.274632639311044,0.7076313036680222,0.06505949955433607,22.429055860794993,0.00623960392200388,0.0979978558347473,13.049593505859375,0.044399820268154144,True,False
candidate_worst_patch16_weight75_seed29_128_m64_crop,/mnt/wmcontent/GLX/icassp/MBRS/experiments/runs/candidate_worst_patch16_weight75_seed29_128_m64_crop/checkpoint_0100.pth,e0b80725f451e3c864960bee7af7dded6f59a847fed3801a672b8f8b1431c440,5.0,21.44576211046622,0.638431629538536,0.09052974581718445,20.618366378119926,0.00944236260605976,0.0947171036529238,15.120393676757812,0.05679361894726753,True,True
candidate_worst_patch16_weight75_seed41_128_m64_crop,/mnt/wmcontent/GLX/icassp/MBRS/experiments/runs/candidate_worst_patch16_weight75_seed41_128_m64_crop/checkpoint_0100.pth,5dd6119485fc6f48215326bd088d4405050de34ca605ae2c01414ba2d81e2e1a,1.0,34.95951273270374,0.949600316286087,0.005813753476832062,34.375833783519,0.0003811812352796551,0.0692491440700033,4.359944515228271,0.0,False,False
