image_index,global_mse,global_psnr,global_ssim,global_ms_ssim,full_lpips,patch_ssim_mean,patch_ssim_median,patch_ssim_p10,patch_ssim_bottom10_mean,patch_ssim_min,ssim_tail_gap,patch_lpips_top10_mean,patch_lpips_max,patch_mse_top25,patch_mse_p95,top25_local_psnr,gini,cv,top10_over_mean,top10_energy_share,ciede2000_global,ciede2000_patch_mean,ciede2000_top10,ciede2000_p95,ciede2000_max,signed_cielab_da,signed_cielab_db,global_oklab,global_chroma,signed_oklab_da,signed_oklab_db,method,split,ber100,ber70,ber50,ber40,ber30
13,0.00017505067808087915,37.56836202601241,0.9118075370788574,0.9688428640365601,0.0037381963338702917,0.9088642597198486,0.897644579410553,0.8533396124839783,0.8460252285003662,0.844920814037323,0.05161935091018677,0.0019136599730700254,0.0019286776660010219,0.00020004303951282054,0.00020569944535964169,36.98876555276054,0.06791968950827627,0.12042498669888348,1.176645589764415,0.14708069872055188,3.5968003273010254,3.63628888130188,4.738894939422607,4.675865054130554,5.974012851715088,-0.8361222743988037,0.8404929637908936,0.011462108232080936,0.01004760805517435,-0.0019348514033481479,0.0023249913938343525,Hard16 stride8 Top10 + global OKLab,validation,0.0,0.0,0.009375,0.028125,0.09375
14,0.00022494896256830543,36.47916005396388,0.9718823432922363,0.9901174306869507,0.0017313867574557662,0.9668352603912354,0.968604564666748,0.953296959400177,0.9431268572807312,0.93401038646698,0.025477707386016846,0.0009577380842529237,0.0009791920892894268,0.00028304304578341544,0.00029438900673994794,35.48147511031959,0.11454555433231085,0.19987322020956858,1.315179468151962,0.16439743351899525,3.7489395141601562,3.771775722503662,5.436334133148193,5.307758808135986,8.045007705688477,-0.3982541561126709,0.43805885314941406,0.012976286001503468,0.011145178228616714,-0.001067073317244649,0.0011512961937114596,Hard16 stride8 Top10 + global OKLab,validation,0.0,0.0,0.00625,0.025,0.0875
15,0.00016211433103308082,37.901785914841156,0.9640547037124634,0.9881080985069275,0.0016806037165224552,0.9560385942459106,0.9641265869140625,0.9306705296039581,0.917564868927002,0.9054650068283081,0.04656171798706055,0.0009383010910823941,0.0010157006327062845,0.00018343498231843114,0.00018620339687913656,37.36517837809416,0.06222064330144552,0.10936369819061129,1.169073474937325,0.14613418436716563,3.7058815956115723,3.783550262451172,4.936298847198486,4.85114598274231,7.058728218078613,-0.006962724030017853,0.4225594401359558,0.010203576646745205,0.009099134244024754,3.506045322865248e-05,0.001048566773533821,Hard16 stride8 Top10 + global OKLab,validation,0.0,0.0,0.021875,0.05,0.128125
16,0.000344489817507565,34.62823610521615,0.946837842464447,0.9810867309570312,0.0022235936485230923,0.9374644756317139,0.9496214985847473,0.8907041847705841,0.8459353446960449,0.8280726671218872,0.10368615388870239,0.0014985129237174988,0.0016092961886897683,0.0004945935215801001,0.0005251171533018351,33.05751576532021,0.17938086642440107,0.3166113952568029,1.555534696254177,0.19444183703177212,3.539066791534424,3.5317351818084717,5.182139873504639,5.044907331466675,8.032135963439941,-0.8598623275756836,0.7277154922485352,0.01452245470136404,0.011740347370505333,-0.0019994773901998997,0.0020000438671559095,Hard16 stride8 Top10 + global OKLab,validation,0.0,0.0,0.0125,0.059375,0.134375
17,0.00020862351811956614,36.80636735152869,0.9570903778076172,0.9857584834098816,0.0018086860654875636,0.9491389989852905,0.9665913581848145,0.8703730702400208,0.8656625151634216,0.8655619025230408,0.10092884302139282,0.0010421108454465866,0.0010837703011929989,0.00024834871874190867,0.0002563949819887057,36.049380762355156,0.07661129318959317,0.14120767718395685,1.271208503822745,0.15890106297784312,3.4057881832122803,3.4698991775512695,5.02233362197876,4.91277003288269,7.051546573638916,-0.08127829432487488,0.21422958374023438,0.012367143295705318,0.01041341945528984,-9.926172788254917e-05,0.0006929602823220193,Hard16 stride8 Top10 + global OKLab,validation,0.0,0.0,0.015625,0.0625,0.125
18,0.00022061988420318812,36.56355347695684,0.9713711738586426,0.9901966452598572,0.003488358808681369,0.9653058052062988,0.9685165882110596,0.9489718973636627,0.9329569935798645,0.9245619773864746,0.03555959463119507,0.0007708721095696092,0.0007730412180535495,0.00027724821120500565,0.0002897145022870973,35.571312472213684,0.09552795401084291,0.18427488237779488,1.3821558675247878,0.17276948344059848,3.6967720985412598,3.7525947093963623,5.422786712646484,5.3351792097091675,6.737074375152588,-0.3325921893119812,0.46218013763427734,0.012469323351979256,0.010819854214787483,-0.0008730716072022915,0.0011717266170307994,Hard16 stride8 Top10 + global OKLab,validation,0.0,0.0,0.0125,0.040625,0.096875
19,0.00019300536951050162,37.144306085241276,0.9813050031661987,0.993647575378418,0.0012052858946844935,0.976290762424469,0.9798374176025391,0.9574296474456787,0.9569371938705444,0.9566354751586914,0.02290022373199463,0.000630861206445843,0.0006952557596378028,0.00022747108596377075,0.00023683295512455516,36.430737990263346,0.07921723300913686,0.14078366670333964,1.2401835216921462,0.15502294021151827,3.818441152572632,3.876600503921509,5.155997276306152,5.074719786643982,6.502346038818359,0.02563626319169998,0.27142494916915894,0.011451303027570248,0.010007134638726711,0.00017547651077620685,0.0007109635625965893,Hard16 stride8 Top10 + global OKLab,validation,0.0,0.0,0.00625,0.040625,0.096875
20,0.00025313469814136624,35.966483203554425,0.988358199596405,0.9960042238235474,0.0007115291664376855,0.9848853349685669,0.9866458177566528,0.9729364812374115,0.9650400280952454,0.9648115038871765,0.02160578966140747,0.00035534327616915107,0.0003696599160321057,0.0003010407672263682,0.00030512055673170835,35.213746878527104,0.09214783783895455,0.17083619793351063,1.26974124273263,0.15871765534157875,3.769207000732422,3.8319575786590576,5.194832801818848,5.095295786857605,7.120586395263672,-0.622259259223938,0.5795866847038269,0.013642830774188042,0.011393432505428791,-0.0014981639105826616,0.001627289573661983,Hard16 stride8 Top10 + global OKLab,validation,0.0,0.0,0.021875,0.040625,0.125
21,0.000219845212996006,36.57882986455708,0.9772054553031921,0.9919884204864502,0.0013883179053664207,0.9729824662208557,0.9720973968505859,0.9657735228538513,0.9649448394775391,0.9643356204032898,0.007152557373046875,0.00054888118756935,0.0005937874084338546,0.00025076986639760435,0.0002606022171676159,36.00724651427827,0.06592158091926315,0.11602842645111625,1.1861997559572095,0.1482749694946512,2.922619581222534,2.9218363761901855,4.166918754577637,4.060778021812439,5.767974376678467,-0.26716044545173645,0.24301010370254517,0.012922079302370548,0.010783686302602291,-0.0007931658765301108,0.0005791716394014657,Hard16 stride8 Top10 + global OKLab,validation,0.0,0.0,0.009375,0.059375,0.11875
22,0.00020082849368918687,36.97174669146146,0.9354923963546753,0.9778761863708496,0.0017876618076115847,0.9281540513038635,0.9307541251182556,0.8593065440654755,0.8529158234596252,0.848061740398407,0.07783830165863037,0.0011297017335891724,0.0012605668744072318,0.00023174814123194665,0.00023393405717797577,36.34983740488518,0.07190867033080012,0.12527813455566644,1.1769839098718708,0.14712298873398386,2.9983644485473633,3.0501489639282227,4.765597820281982,4.674250245094299,6.184906005859375,-0.35138845443725586,0.35026586055755615,0.011296623386442661,0.009319779463112354,-0.000832549121696502,0.0009703394025564194,Hard16 stride8 Top10 + global OKLab,validation,0.0,0.0,0.0125,0.034375,0.10625
