method,image_index,global_mse,global_psnr,global_ssim,global_ms_ssim,global_dists,global_gmsd,full_lpips,patch_ssim_mean,patch_ssim_median,patch_ssim_p10,patch_ssim_bottom10_mean,patch_ssim_min,ssim_tail_gap,patch_lpips_top10_mean,patch_lpips_max,patch_mse_top25,patch_mse_p95,top25_local_psnr,gini,cv,top10_over_mean,top10_energy_share,global_ciede2000_mean,patch_ciede2000_mean,patch_ciede2000_p95,top10_patch_ciede2000,max_patch_ciede2000,mean_signed_delta_a,mean_signed_delta_b
JPEG OKLab-tail,16,0.00013736482651438564,38.62124458006293,0.9638702869415283,0.9886814951896667,nan,nan,0.002939532743766904,0.9597742557525635,0.9699090719223022,0.9175969958305359,0.9020144939422607,0.8971461057662964,0.0678945779800415,0.0010344518814235926,0.0010692313080653548,0.00015704170800745487,0.00016182275430765003,38.03984989935184,0.06109646995224774,0.11005251775097738,1.195201160293362,0.14940014503667026,2.493618965148926,2.5248773097991943,3.5362104177474976,3.585599660873413,4.4769086837768555,0.031515415757894516,-0.16603317856788635
JPEG OKLab-tail,17,0.00013992024469189346,38.541194440364826,0.9600070714950562,0.9856101274490356,nan,nan,0.0038403647486120462,0.9577136635780334,0.9624240398406982,0.9260776937007904,0.9224849939346313,0.9224638938903809,0.039939045906066895,0.0051429313607513905,0.00594561081379652,0.00016923781367950141,0.0001734546312945895,37.71502593793717,0.09450867236881257,0.1658882059087019,1.240560946844625,0.15507011835557813,2.213139057159424,2.231745958328247,3.0506805181503296,3.1056153774261475,4.409008026123047,1.1459767818450928,-1.3196589946746826
JPEG OKLab-tail,18,0.00017783524526748806,37.499821617671046,0.9855329990386963,0.9945701360702515,nan,nan,0.0020275525748729706,0.9837394952774048,0.9838817119598389,0.9771190881729126,0.9743462800979614,0.9733356237411499,0.009535431861877441,0.000766729936003685,0.0008308621472679079,0.00021791926701553166,0.0002251082769362256,36.61704370540277,0.11014736585478704,0.19710127749455028,1.2987517437146445,0.16234396796433057,2.2645645141601562,2.2447941303253174,3.571014642715454,3.69633412361145,5.4759931564331055,0.16561518609523773,-0.09703031927347183
JPEG OKLab-tail,19,0.00028580159414559603,35.43935353128306,0.9866628646850586,0.9947700500488281,nan,nan,0.0018490628572180867,0.9841850996017456,0.9847406148910522,0.9791598916053772,0.978325605392456,0.9776517152786255,0.006415009498596191,0.0007069969433359802,0.0007922060322016478,0.0003796367673203349,0.0003819046978605911,34.20631733359923,0.1290881573386915,0.2555140835644372,1.4848723279728104,0.1856090409966013,2.2768545150756836,2.2362091541290283,3.7162229418754578,3.896477460861206,6.9997663497924805,0.32878127694129944,-0.3250426948070526
JPEG OKLab-tail,20,0.00013696284440811723,38.63397233260364,0.9784256815910339,0.9925286173820496,nan,nan,0.002578316256403923,0.9744517803192139,0.9802775382995605,0.9554316103458405,0.94719398021698,0.9443682432174683,0.033083558082580566,0.0012833098880946636,0.0017015187768265605,0.00015406800957862288,0.00015653425725759007,38.122875280938125,0.056942767316082644,0.1018153857839963,1.144833621229993,0.14310420265374912,2.3306734561920166,2.341054916381836,2.966640830039978,3.0203964710235596,4.045095443725586,-0.38023641705513,0.028156956657767296
JPEG OKLab-tail,21,0.0002293149591423571,36.39567613560192,0.9860653877258301,0.9951357841491699,nan,nan,0.0021173986606299877,0.9822628498077393,0.984161913394928,0.9704296886920929,0.9608834981918335,0.9544268846511841,0.023278415203094482,0.0004778615548275411,0.00048469752073287964,0.00029285522759892046,0.00029508119041565806,35.333470192129326,0.12898111049994246,0.23063291115967488,1.3538410435077455,0.16923013043846818,2.6092700958251953,2.6056394577026367,4.084689378738403,4.216762542724609,6.218087673187256,0.5001527667045593,-0.3243757486343384
JPEG OKLab-tail,22,0.0001371788966935128,38.62712694419988,0.95521080493927,0.9854077100753784,nan,nan,0.0013608213048428297,0.9517615437507629,0.9531803131103516,0.9232470989227295,0.9166415929794312,0.9132701754570007,0.03653872013092041,0.0007354174740612507,0.0008551653590984643,0.00018416675447952002,0.00019399849043111317,37.34788765285798,0.1339610649529697,0.23800684164398664,1.4379556800779751,0.1797444600097469,1.965842366218567,1.9666264057159424,2.877070188522339,2.927611827850342,3.7196009159088135,-0.08083592355251312,-0.09190841764211655
JPEG OKLab-tail,23,0.000147382277646102,38.31554736173314,0.9549371004104614,0.9841222763061523,nan,nan,0.001730509102344513,0.951384961605072,0.9497412443161011,0.928181529045105,0.92087322473526,0.9162553548812866,0.028868019580841064,0.0006818934343755245,0.000752127671148628,0.0001810285757528618,0.0001860482298070565,37.422528653947005,0.10228428371596009,0.17955335137308293,1.2645501327065483,0.15806876658831853,2.023347854614258,2.0369579792022705,3.5509853959083557,3.5962631702423096,4.557263374328613,0.3389144539833069,-0.30300644040107727
JPEG OKLab-tail,24,0.00014172089868225157,38.48566102376785,0.968908429145813,0.9894387125968933,nan,nan,0.004212088882923126,0.9643751382827759,0.9661720991134644,0.949255496263504,0.9479631781578064,0.9469391703605652,0.01820892095565796,0.004021747969090939,0.005070301238447428,0.0001584889250807464,0.00015989865642040968,38.00001080098373,0.060008503243324005,0.11096978012193842,1.157398609601161,0.14467482620014513,2.6235384941101074,2.62066650390625,3.453435182571411,3.5422613620758057,4.8567352294921875,1.284470796585083,-1.487097978591919
JPEG OKLab-tail,25,0.00014589809870813042,38.35950367640117,0.9671157598495483,0.988978385925293,nan,nan,0.003391790669411421,0.9626880288124084,0.9594569206237793,0.9488803446292877,0.9449646472930908,0.9444155693054199,0.014492273330688477,0.004710306879132986,0.004824057221412659,0.0002177280402975157,0.0002274578255310189,36.620856363595145,0.19450158576734358,0.3553301400805814,1.6631162924820786,0.20788953656025982,2.291767120361328,2.287269115447998,3.4994192123413086,3.5982766151428223,5.253171443939209,0.11512413620948792,-0.23666250705718994
JPEG OKLab-tail,26,0.0001489343703724444,38.270050662465785,0.961944043636322,0.9853055477142334,nan,nan,0.005089553073048592,0.9606418013572693,0.9638216495513916,0.9429998993873596,0.9364128112792969,0.9316997528076172,0.027408838272094727,0.003680482041090727,0.004666144028306007,0.00017684292106423527,0.000182819629117148,37.52412320097303,0.0802555654746371,0.1416165036228564,1.2417985613527314,0.15522482016909142,3.2136077880859375,3.230700969696045,4.054052352905273,4.122069835662842,5.212488174438477,0.7108574509620667,-1.295494794845581
