method,image_index,global_ciede2000,ciede2000_top10,ciede2000_p95,global_chroma,chroma_top10,chroma_p95,global_mse,global_psnr,global_ssim,global_ms_ssim,full_lpips,top25_local_psnr,patch_mse_p95,gini,cv,top10_over_mean,top10_energy_share,ber50,ber40,ber30
Hard Top10 + global OKLab,3,3.5523476600646973,4.836067199707031,4.753109455108643,0.010348153300583363,0.01475901622325182,0.01401712209917605,0.0002294064179295674,36.393944363370736,0.9833673238754272,0.9943598508834839,0.0024711827281862497,35.54979106617475,0.0002799901703838259,0.08391857652696834,0.15114488519479763,1.252828627751099,0.15660357846888737,0.015625,0.04375,0.1125
Hard Top10 + global OKLab,4,3.470749855041504,4.8266801834106445,4.756714582443237,0.009199338033795357,0.013882656581699848,0.012473805109038949,0.0001646828604862094,37.83351598059133,0.974332332611084,0.9915258288383484,0.0011250899406149983,37.14546211118665,0.000197918572666822,0.06927993864518181,0.12318449499151499,1.221734082634749,0.15271676032934361,0.0125,0.0375,0.078125
Hard Top10 + global OKLab,5,2.98710036277771,4.664119720458984,4.571589350700378,0.009662453085184097,0.01310549397021532,0.012841383460909128,0.00020835101895499974,36.812043712544515,0.9517666697502136,0.9847025275230408,0.0013532290467992425,36.15335980382913,0.00024674449741723947,0.0692147815565979,0.12428735855413817,1.2224593726177306,0.15280742157721633,0.015625,0.059375,0.084375
Hard Top10 + global OKLab,6,3.139077663421631,5.092548847198486,4.902290344238281,0.01206841692328453,0.0182607714086771,0.01766947563737631,0.0003541887563187629,34.507652295553825,0.9526836276054382,0.9835166931152344,0.0039754593744874,32.794718396316604,0.0005375850305426866,0.20210345371593139,0.35726762709960413,1.5551488874545363,0.19439361093181703,0.00625,0.021875,0.065625
Hard Top10 + global OKLab,7,2.821560859680176,4.711031913757324,4.622282862663269,0.00966078694909811,0.013463267125189304,0.013120144605636597,0.00020310236141085625,36.922850271528375,0.9329789876937866,0.9770556688308716,0.0022079842165112495,36.15102874741753,0.0002469686805852689,0.08734912538256548,0.1643080305417367,1.2880449704121661,0.16100562130152077,0.0125,0.05,0.128125
Hard Top10 + global OKLab,8,3.066551685333252,5.011605739593506,4.925174355506897,0.010273371823132038,0.013054866343736649,0.012888788245618343,0.00022923295910004526,36.39722939382662,0.9645089507102966,0.9875842332839966,0.0015811847988516092,35.316798447973454,0.00030088310450082645,0.11649539044938324,0.2048648581153025,1.3199748302985885,0.16499685378732357,0.009375,0.034375,0.103125
Hard Top10 + global OKLab,9,3.1635985374450684,5.117262840270996,5.030014872550964,0.00954405777156353,0.012992562726140022,0.012755682924762368,0.00018008233746513724,37.44528880837265,0.9586028456687927,0.9861375093460083,0.0018191757844761014,36.7619753457968,0.00021256624313537031,0.06973325696178075,0.12399221637294373,1.209963692953157,0.15124546161914462,0.009375,0.04375,0.13125
Hard Top10 + global OKLab,10,3.557180404663086,5.153356552124023,5.0547215938568115,0.010054228827357292,0.013496151193976402,0.013231271877884865,0.00017148948973044753,37.657624919007645,0.9545012712478638,0.9843320846557617,0.0021814238280057907,36.94010276007218,0.0002121620564139448,0.0707775006789675,0.12673539351560234,1.2405580320755867,0.15506975400944834,0.009375,0.028125,0.09375
Hard Top10 + global OKLab,11,3.4362549781799316,5.213850498199463,5.108322620391846,0.00994679145514965,0.013280595652759075,0.012966790469363332,0.00018643679504748434,37.29468371439709,0.9630875587463379,0.9876682162284851,0.0006729828892275691,36.991865229858256,0.00020160595886409283,0.0347639934198354,0.06369785415480057,1.0871218849017468,0.13589023561271835,0.01875,0.025,0.09375
Hard Top10 + global OKLab,12,3.665982723236084,5.163538932800293,5.068095803260803,0.010816234163939953,0.016566285863518715,0.015790001023560762,0.00024368985032197088,36.13162558796217,0.9602168798446655,0.9869918823242188,0.001609512371942401,34.36479451827534,0.0004513125604717061,0.16923062990556528,0.3531901799658802,1.8656471561184258,0.23320589451480322,0.01875,0.0375,0.09375
Hard Top10 + global OKLab,13,3.5968003273010254,4.738894939422607,4.675865054130554,0.01004760805517435,0.012888163328170776,0.01269181352108717,0.00017505067808087915,37.56836202601241,0.9118075370788574,0.9688428640365601,0.0037381963338702917,36.98876555276054,0.00020569944535964169,0.06791968950827627,0.12042498669888348,1.176645589764415,0.14708069872055188,0.009375,0.028125,0.09375
Hard Top10 + global OKLab,14,3.7489395141601562,5.436334133148193,5.307758808135986,0.011145178228616714,0.015946893021464348,0.015421383315697312,0.00022494896256830543,36.47916005396388,0.9718823432922363,0.9901174306869507,0.0017313867574557662,35.48147511031959,0.00029438900673994794,0.11454555433231085,0.19987322020956858,1.315179468151962,0.16439743351899525,0.00625,0.025,0.0875
Hard Top10 + global OKLab,15,3.7058815956115723,4.936298847198486,4.85114598274231,0.009099134244024754,0.01210520789027214,0.011891841888427734,0.00016211433103308082,37.901785914841156,0.9640547037124634,0.9881080985069275,0.0016806037165224552,37.36517837809416,0.00018620339687913656,0.06222064330144552,0.10936369819061129,1.169073474937325,0.14613418436716563,0.021875,0.05,0.128125
Hard Top10 + global OKLab,16,3.539066791534424,5.182139873504639,5.044907331466675,0.011740347370505333,0.016660256311297417,0.01581621589139104,0.000344489817507565,34.62823610521615,0.946837842464447,0.9810867309570312,0.0022235936485230923,33.05751576532021,0.0005251171533018351,0.17938086642440107,0.3166113952568029,1.555534696254177,0.19444183703177212,0.0125,0.059375,0.134375
Hard Top10 + global OKLab,17,3.4057881832122803,5.02233362197876,4.91277003288269,0.01041341945528984,0.016526605933904648,0.015791859943419695,0.00020862351811956614,36.80636735152869,0.9570903778076172,0.9857584834098816,0.0018086860654875636,36.049380762355156,0.0002563949819887057,0.07661129318959317,0.14120767718395685,1.271208503822745,0.15890106297784312,0.015625,0.0625,0.125
Hard Top10 + global OKLab,18,3.6967720985412598,5.422786712646484,5.3351792097091675,0.010819854214787483,0.014418991282582283,0.014135875040665269,0.00022061988420318812,36.56355347695684,0.9713711738586426,0.9901966452598572,0.003488358808681369,35.571312472213684,0.0002897145022870973,0.09552795401084291,0.18427488237779488,1.3821558675247878,0.17276948344059848,0.0125,0.040625,0.096875
Hard Top10 + global OKLab,19,3.818441152572632,5.155997276306152,5.074719786643982,0.010007134638726711,0.013267108239233494,0.013006066204980016,0.00019300536951050162,37.144306085241276,0.9813050031661987,0.993647575378418,0.0012052858946844935,36.430737990263346,0.00023683295512455516,0.07921723300913686,0.14078366670333964,1.2401835216921462,0.15502294021151827,0.00625,0.040625,0.096875
Hard Top10 + global OKLab,20,3.769207000732422,5.194832801818848,5.095295786857605,0.011393432505428791,0.01582416519522667,0.015380485448986292,0.00025313469814136624,35.966483203554425,0.988358199596405,0.9960042238235474,0.0007115291664376855,35.213746878527104,0.00030512055673170835,0.09214783783895455,0.17083619793351063,1.26974124273263,0.15871765534157875,0.021875,0.040625,0.125
Hard Top10 + global OKLab,21,2.922619581222534,4.166918754577637,4.060778021812439,0.010783686302602291,0.014412179589271545,0.013891251757740974,0.000219845212996006,36.57882986455708,0.9772054553031921,0.9919884204864502,0.0013883179053664207,36.00724651427827,0.0002606022171676159,0.06592158091926315,0.11602842645111625,1.1861997559572095,0.1482749694946512,0.009375,0.059375,0.11875
Hard Top10 + global OKLab,22,2.9983644485473633,4.765597820281982,4.674250245094299,0.009319779463112354,0.012716404162347317,0.01248639402911067,0.00020082849368918687,36.97174669146146,0.9354923963546753,0.9778761863708496,0.0017876618076115847,36.34983740488518,0.00023393405717797577,0.07190867033080012,0.12527813455566644,1.1769839098718708,0.14712298873398386,0.0125,0.034375,0.10625
Hard Top10 + global OKLab,23,3.655668258666992,5.063539505004883,4.973319172859192,0.009898323565721512,0.013024071231484413,0.012792274355888367,0.0001956669002538547,37.08482635010891,0.9531258940696716,0.9842821359634399,0.0009512791875749826,36.22799248968759,0.00024745112023083493,0.08919041512591357,0.15848858315227185,1.266690802179756,0.1583363502724695,0.0125,0.0375,0.121875
Hard Top10 + global OKLab,24,3.687216281890869,5.023470401763916,4.931315779685974,0.010732035152614117,0.014973033219575882,0.014664214802905917,0.00022686920419801027,36.44224452350276,0.984153151512146,0.994473934173584,0.0019663467537611723,35.34097399538625,0.00030052708461880684,0.12671447803898267,0.2388158013554386,1.4377309741958182,0.17971637177447727,0.009375,0.05,0.109375
