base_condition,ours_condition,same_condition,base_phase,ours_phase,promoted_pair,base_w_msg,ours_w_msg,base_lambda_img,ours_lambda_img,ber30_base,ber30_ours,abs_delta_ber30,psnr_base,psnr_ours,local_psnr_base,local_psnr_ours,delta_local_psnr,p95_base,p95_ours,delta_p95,gini_base,gini_ours,rank,selected
wmsg40_img05,wmsg20_img05,False,,,False,40.0,20.0,0.5,0.5,0.1150625,0.11475,0.00031249999999999334,33.798163565194784,34.57588208746528,33.04940138032077,33.82959060585981,0.780189225539047,0.0005250476794026326,0.0004391070944257081,-8.594058497692455e-05,0.08909127508113628,0.08827097640392045,75,False
img05,promoted_wmsg20,False,,promoted,False,10.0,20.0,0.5,1.0,0.1151875,0.111125,0.004062499999999997,34.9151224364619,35.6377520441701,34.13417899904236,34.90593517217285,0.7717561731304912,0.0004121655964991078,0.00034487296783481725,-6.729262866429054e-05,0.09364339609379652,0.0891638264225587,76,False
wmsg40_img025,wmsg20_img025,False,,,False,40.0,20.0,0.25,0.25,0.1151875,0.115,0.00018749999999999323,33.541478059055905,34.29805152125781,32.798180944968735,33.557385923417336,0.7592049784486008,0.0005560941119620111,0.0004666525445645675,-8.944156739744359e-05,0.08805669260476585,0.08741908670808947,77,False
wmsg40,wmsg20,False,,,False,40.0,20.0,1.0,1.0,0.1146875,0.115375,0.0006875000000000075,34.238306554370105,34.97057417507345,33.483743425758995,34.22027291524583,0.7365294894868342,0.0004757613530091476,0.0004026055391295813,-7.315581387956627e-05,0.08971934697013262,0.08894195163096225,78,False
wmsg40,img05,False,,,False,40.0,10.0,1.0,0.5,0.1146875,0.11575,0.0010625000000000079,34.238306554370105,34.96787302470802,33.483743425758995,34.20468947436314,0.7209460486041479,0.0004757613530091476,0.00040437078307149933,-7.139056993764824e-05,0.08971934697013262,0.09105890734985335,79,False
wmsg20_img025,wmsg20,False,,,False,20.0,20.0,0.25,1.0,0.115,0.115375,0.00037500000000000033,34.28189094354105,34.97057417507345,33.52642413738608,34.22027291524583,0.6938487778597491,0.00047112922184169295,0.0004026055391295813,-6.852368271211164e-05,0.08948576694184554,0.08894195163096225,80,False
img025,reference,False,,,False,10.0,10.0,0.25,1.0,0.114875,0.1153125,0.00043749999999999345,34.69796547460056,35.38101385790666,33.92379659211995,34.612166679219534,0.6883700870995852,0.0004312837414909154,0.00036961714286007916,-6.166659863083624e-05,0.09231015136704405,0.09203502663692882,81,False
wmsg20_img025,img05,False,,,False,20.0,10.0,0.25,0.5,0.115,0.11575,0.0007500000000000007,34.28189094354105,34.96787302470802,33.52642413738608,34.20468947436314,0.6782653369770628,0.00047112922184169295,0.00040437078307149933,-6.675843877019361e-05,0.08948576694184554,0.09105890734985335,82,False
promoted_wmsg40,wmsg40,False,promoted,,False,40.0,40.0,1.0,1.0,0.111375,0.114375,0.0030000000000000027,33.78577818110702,34.33324343945972,33.04112845272648,33.60665170743549,0.5655232547090066,0.0005226872711500619,0.00046085295602097174,-6.183431512909017e-05,0.08671867329051054,0.08561970507495395,83,False
wmsg40_img05,wmsg40,False,,,False,40.0,40.0,0.5,1.0,0.1150625,0.114375,0.0006874999999999937,33.798163565194784,34.33324343945972,33.04940138032077,33.60665170743549,0.5572503271147227,0.0005250476794026326,0.00046085295602097174,-6.419472338166089e-05,0.08909127508113628,0.08561970507495395,84,False
promoted_wmsg40,wmsg20_img025,False,promoted,,False,40.0,20.0,1.0,0.25,0.111375,0.115,0.0036250000000000032,33.78577818110702,34.29805152125781,33.04112845272648,33.557385923417336,0.5162574706908529,0.0005226872711500619,0.0004666525445645675,-5.6034726585494406e-05,0.08671867329051054,0.08741908670808947,85,False
wmsg40_img05,wmsg20_img025,False,,,False,40.0,20.0,0.5,0.25,0.1150625,0.115,6.249999999999312e-05,33.798163565194784,34.29805152125781,33.04940138032077,33.557385923417336,0.507984543096569,0.0005250476794026326,0.0004666525445645675,-5.8395134838065124e-05,0.08909127508113628,0.08741908670808947,86,False
wmsg20,reference,False,,,False,20.0,10.0,1.0,1.0,0.1154375,0.1153125,0.0001250000000000001,34.900542732286006,35.38101385790666,34.12323929151835,34.612166679219534,0.4889273877011817,0.0004129919313709252,0.00036961714286007916,-4.337478851084602e-05,0.09268271594954415,0.09203502663692882,87,False
wmsg40,img025,False,,,False,40.0,10.0,1.0,0.25,0.1146875,0.11525,0.0005625000000000074,34.238306554370105,34.72839100005883,33.483743425758995,33.967204826937284,0.48346140117828895,0.0004757613530091476,0.0004264892234641593,-4.927212954498829e-05,0.08971934697013262,0.0906037966119158,88,False
img05,reference,False,,,False,10.0,10.0,0.5,1.0,0.1151875,0.1153125,0.0001250000000000001,34.9151224364619,35.38101385790666,34.13417899904236,34.612166679219534,0.4779876801771721,0.0004121655964991078,0.00036961714286007916,-4.254845363902863e-05,0.09364339609379652,0.09203502663692882,89,False
wmsg20_img05,wmsg20,False,,,False,20.0,20.0,0.5,1.0,0.1150625,0.115375,0.0003125000000000072,34.53364915648359,34.97057417507345,33.76628491542652,34.22027291524583,0.4539879998193115,0.0004466118017444387,0.0004026055391295813,-4.40062626148574e-05,0.09124007026377726,0.08894195163096225,90,False
wmsg20_img025,img025,False,,,False,20.0,10.0,0.25,0.25,0.115,0.11525,0.0002500000000000002,34.28189094354105,34.72839100005883,33.52642413738608,33.967204826937284,0.44078068955120386,0.00047112922184169295,0.0004264892234641593,-4.463999837753366e-05,0.08948576694184554,0.0906037966119158,91,False
wmsg20_img05,img05,False,,,False,20.0,10.0,0.5,0.5,0.1150625,0.11575,0.0006875000000000075,34.53364915648359,34.96787302470802,33.76628491542652,34.20468947436314,0.4384045589366252,0.0004466118017444387,0.00040437078307149933,-4.224101867293938e-05,0.09124007026377726,0.09105890734985335,92,False
reference,promoted_wmsg20,False,,promoted,False,10.0,20.0,1.0,1.0,0.1148125,0.111125,0.0036874999999999963,35.31424488733145,35.6377520441701,34.52222366386737,34.90593517217285,0.3837115083054812,0.0003785038368368987,0.00034487296783481725,-3.3630869002081436e-05,0.09555778711609784,0.0891638264225587,93,False
wmsg40,wmsg20_img05,False,,,False,40.0,20.0,1.0,0.5,0.1146875,0.11475,6.2500000000007e-05,34.238306554370105,34.57588208746528,33.483743425758995,33.82959060585981,0.3458471801008187,0.0004757613530091476,0.0004391070944257081,-3.66542585834395e-05,0.08971934697013262,0.08827097640392045,94,False
wmsg40_img025,wmsg40_img05,False,,,False,40.0,40.0,0.25,0.5,0.1151875,0.1150625,0.0001250000000000001,33.541478059055905,33.84098365610471,32.798180944968735,33.123404006463744,0.32522306149500935,0.0005560941119620111,0.0005133856968313922,-4.2708415130618925e-05,0.08805669260476585,0.08474360076151076,95,False
wmsg20_img025,wmsg20_img05,False,,,False,20.0,20.0,0.25,0.5,0.115,0.11475,0.0002500000000000002,34.28189094354105,34.57588208746528,33.52642413738608,33.82959060585981,0.30316646847373363,0.00047112922184169295,0.0004391070944257081,-3.202212741598487e-05,0.08948576694184554,0.08827097640392045,96,False
img025,wmsg20,False,,,False,10.0,20.0,0.25,1.0,0.114875,0.115375,0.0005000000000000004,34.69796547460056,34.97057417507345,33.92379659211995,34.22027291524583,0.29647632312588,0.0004312837414909154,0.0004026055391295813,-2.8678202361334096e-05,0.09231015136704405,0.08894195163096225,97,False
img025,img05,False,,,False,10.0,10.0,0.25,0.5,0.114875,0.11575,0.0008750000000000008,34.69796547460056,34.96787302470802,33.92379659211995,34.20468947436314,0.28089288224319375,0.0004312837414909154,0.00040437078307149933,-2.691295841941607e-05,0.09231015136704405,0.09105890734985335,98,False
wmsg20_img05,img025,False,,,False,20.0,10.0,0.5,0.25,0.1150625,0.11525,0.0001875000000000071,34.53364915648359,34.72839100005883,33.76628491542652,33.967204826937284,0.20091991151076627,0.0004466118017444387,0.0004264892234641593,-2.0122578280279424e-05,0.09124007026377726,0.0906037966119158,99,False
promoted_wmsg20,reference,False,promoted,,False,20.0,10.0,1.0,1.0,0.1108125,0.1153125,0.004500000000000004,35.189393867590375,35.38101385790666,34.412367331389305,34.612166679219534,0.19979934783022912,0.00038745406971429474,0.00036961714286007916,-1.783692685421558e-05,0.09524348788116868,0.09203502663692882,100,False
img05,wmsg20,False,,,False,10.0,20.0,0.5,1.0,0.1151875,0.115375,0.0001875000000000071,34.9151224364619,34.97057417507345,34.13417899904236,34.22027291524583,0.08609391620346685,0.0004121655964991078,0.0004026055391295813,-9.560057369526484e-06,0.09364339609379652,0.08894195163096225,101,False
promoted_wmsg40,wmsg40_img05,False,promoted,,False,40.0,40.0,1.0,0.5,0.111375,0.1150625,0.0036874999999999963,33.78577818110702,33.84098365610471,33.04112845272648,33.123404006463744,0.08227555373726148,0.0005226872711500619,0.0005133856968313922,-9.30157431866974e-06,0.08671867329051054,0.08474360076151076,102,False
wmsg20,img05,False,,,False,20.0,10.0,1.0,0.5,0.1154375,0.11575,0.0003125000000000072,34.900542732286006,34.96787302470802,34.12323929151835,34.20468947436314,0.08145018284479022,0.0004129919313709252,0.00040437078307149933,-8.621148299425851e-06,0.09268271594954415,0.09105890734985335,103,False
wmsg20_img025,wmsg40,False,,,False,20.0,40.0,0.25,1.0,0.115,0.114375,0.0006250000000000006,34.28189094354105,34.33324343945972,33.52642413738608,33.60665170743549,0.08022757004940928,0.00047112922184169295,0.00046085295602097174,-1.027626582072121e-05,0.08948576694184554,0.08561970507495395,104,False
wmsg40,wmsg20_img025,False,,,False,40.0,20.0,1.0,0.25,0.1146875,0.115,0.0003125000000000072,34.238306554370105,34.29805152125781,33.483743425758995,33.557385923417336,0.07364249765834074,0.0004757613530091476,0.0004666525445645675,-9.108808444580074e-06,0.08971934697013262,0.08741908670808947,105,False
wmsg80,promoted_wmsg80,False,,promoted,False,80.0,80.0,1.0,1.0,0.1143125,0.110625,0.0036874999999999963,32.59147722711611,32.353024096039,31.559143753746426,31.61033297843236,0.051189224685934676,0.0007783152016054373,0.0007261043498874641,-5.2210851717973184e-05,0.12560166897275957,0.08706268247284649,106,False
