method,image_index,global_mse,global_psnr,global_ssim,global_ms_ssim,global_dists,global_gmsd,full_lpips,patch_ssim_mean,patch_ssim_median,patch_ssim_p10,patch_ssim_bottom10_mean,patch_ssim_min,ssim_tail_gap,patch_lpips_top10_mean,patch_lpips_max,patch_mse_top25,patch_mse_p95,top25_local_psnr,gini,cv,top10_over_mean,top10_energy_share,ciede2000_global,ciede2000_p95,ciede2000_max,crop_ratio,repeat,raw_bit_accuracy,raw_ber,detection_success,exact_decode_success,schema,train_epochs,train_images,train_batch_size,train_steps,train_last_loss
Q-control,24,2.5633349650888704e-05,45.911946384570356,0.9933956861495972,0.9968712329864502,nan,nan,0.000784838804975152,0.9935996532440186,0.9940530061721802,0.9903616905212402,0.9896219968795776,0.9892237186431885,0.004431009292602539,0.00036337715573608875,0.0005527903558686376,5.0501876103226095e-05,5.617144142888719e-05,42.966924878982866,0.3154113199653294,0.6252552957939566,2.2788653083589234,0.28485816354486543,0.3343731760978699,0.9439777284860611,2.7420406341552734,50,2,0.98,0.02,1,1,1,2,64,4,32,1.4418116807937622
Q-control,25,4.70888007839676e-05,43.27082369645136,0.9899289011955261,0.9953652620315552,nan,nan,0.0006092319381423295,0.98975670337677,0.9928348064422607,0.979301244020462,0.9728306531906128,0.9663784503936768,0.02000415325164795,0.0007438352331519127,0.001063578762114048,0.00012093399709556252,0.0001317845490120817,39.17451592642391,0.5079906537166539,0.9699634658805274,2.8387008120829242,0.35483760151036553,0.4028289318084717,1.2056565582752212,6.238389015197754,50,2,0.98,0.02,1,1,1,2,64,4,32,1.4418116807937622
Q-control,26,4.129894659854472e-05,43.84061025638361,0.9903034567832947,0.9914541244506836,nan,nan,0.002172868000343442,0.9905319213867188,0.9937137365341187,0.9792509377002716,0.9723652601242065,0.9694370031356812,0.02134847640991211,0.000627129222266376,0.0007918574847280979,9.407621109858155e-05,0.00011536104284459725,40.265201820429596,0.46474833566616924,0.8842638123791693,2.9405957716815028,0.36757447146018785,0.4133339524269104,1.2849005639553066,3.8279361724853516,50,2,0.96,0.04,1,1,1,2,64,4,32,1.4418116807937622
Q-control,27,4.5862700062571093e-05,43.38540380749626,0.9945697784423828,0.9962793588638306,nan,nan,0.0004723573219962418,0.9938617944717407,0.993461012840271,0.9901755750179291,0.9884797930717468,0.9876641631126404,0.00498121976852417,0.0002818869543261826,0.00028865470085293055,0.00010588295117486268,0.00011352867113600951,39.75173962524672,0.4607079820457446,0.8885716512090236,2.765112568748643,0.3456390710935804,0.40637636184692383,1.2882611274719231,4.954551696777344,50,2,0.97,0.03,1,1,1,2,64,4,32,1.4418116807937622
Q-control,28,5.2659979701275006e-05,42.78519312636444,0.9883358478546143,0.9925124645233154,nan,nan,0.0010874166619032621,0.9891451597213745,0.9926649332046509,0.9742716252803802,0.9720498323440552,0.9716932773590088,0.020615100860595703,0.00038793287239968777,0.00039846819709055126,0.00011769807315431535,0.00013271736315800808,39.29230646972182,0.404087162261092,0.7658061279763736,2.5451697647834033,0.3181462205979254,0.4665132164955139,1.5112148344516736,5.027676582336426,50,2,1.0,0.0,1,1,1,2,64,4,32,1.4418116807937622
Q-control,29,3.931685569114052e-05,44.05421221526316,0.991706371307373,0.9960703253746033,nan,nan,0.0006749535677954555,0.9909499883651733,0.9921640157699585,0.9823137819766998,0.9803357720375061,0.9783930778503418,0.011828243732452393,0.0005077135283499956,0.0007213057833723724,7.044999074423686e-05,7.176929284469225e-05,41.52119059612497,0.360430352568748,0.6338752159987986,1.8736465180427428,0.23420581475534286,0.39783596992492676,1.191433423757553,3.8007755279541016,50,2,1.0,0.0,1,1,1,2,64,4,32,1.4418116807937622
Q-control,30,6.183262303238735e-05,42.08782329688595,0.9923030734062195,0.9961162805557251,nan,nan,0.0010464393999427557,0.9911641478538513,0.9945541620254517,0.980823814868927,0.9713099598884583,0.9635300040245056,0.023244202136993408,0.000679295917507261,0.00098297162912786,0.00013785342162009329,0.00016134292673086748,38.60582449926116,0.42470827732254113,0.9047836092509808,3.026130519590179,0.3782663149487724,0.47053664922714233,1.405552154779433,6.646731853485107,50,2,1.0,0.0,1,1,1,2,64,4,32,1.4418116807937622
Q-control,31,6.076285717426799e-05,42.16361813054077,0.9944168329238892,0.9965750575065613,nan,nan,0.0008454369963146746,0.9935575723648071,0.99326491355896,0.9884114861488342,0.987896203994751,0.9874779582023621,0.005368709564208984,0.0003645405522547662,0.00043053951230831444,0.00011619766883086413,0.0001308609134866856,39.34802584717182,0.34006855589460433,0.6147220855327025,2.1683341212081957,0.27104176515102446,0.4785512685775757,1.5713237047195432,4.942962169647217,50,2,0.99,0.01,1,1,1,2,64,4,32,1.4418116807937622
Q-control,32,5.596806659013964e-05,42.520596954827035,0.9916032552719116,0.9948963522911072,nan,nan,0.0010015815496444702,0.9913045167922974,0.9919993877410889,0.9846101403236389,0.9822378158569336,0.9803075194358826,0.009761571884155273,0.000325849890941754,0.0004083819512743503,0.0001189620525110513,0.00012559807873913087,39.245915513242515,0.41966125990707487,0.750430925585925,2.2906532136208546,0.2863316517026068,0.4477391242980957,1.4749254107475236,4.602329254150391,50,2,0.95,0.05,1,1,1,2,64,4,32,1.4418116807937622
Q-control,33,2.97059250442544e-05,45.27156919120992,0.9881181716918945,0.9921238422393799,nan,nan,0.0008772443397901952,0.988006591796875,0.9913656115531921,0.9774724841117859,0.9701598882675171,0.9629967212677002,0.02120572328567505,0.00022220615937840194,0.0002412675239611417,6.155476876301691e-05,6.364753971865866e-05,42.107382958238475,0.4035486529005718,0.8042843505977789,2.5829251471819155,0.32286564339773943,0.33427369594573975,0.9731866657733916,3.323401689529419,50,2,0.97,0.03,1,1,1,2,64,4,32,1.4418116807937622
Q-control,34,7.165890565374866e-05,41.44729828491528,0.9930170774459839,0.9965381026268005,nan,nan,0.0010127541609108448,0.9917806386947632,0.9918212890625,0.9865540266036987,0.9851459860801697,0.9846900701522827,0.006675302982330322,0.00048383226385340095,0.0004983104299753904,0.00013086687249597162,0.00015001315478002653,38.83170276390511,0.2881553974797887,0.5560088796918473,2.2191379609607913,0.2773922451200989,0.5420345067977905,1.7152248322963701,6.174237251281738,50,2,0.92,0.08,0,0,1,2,64,4,32,1.4418116807937622
Q-control,35,3.495722194202244e-05,44.564630881425835,0.9931612014770508,0.9957510828971863,nan,nan,0.0005010026507079601,0.9931060671806335,0.9936271905899048,0.9844327867031097,0.982775092124939,0.9825901985168457,0.01085209846496582,0.0001207060122396797,0.00012830848572775722,8.611336670583114e-05,9.68642834777711e-05,40.64929431170953,0.5241798921314597,1.013180254846707,3.115396173434002,0.38942452167925024,0.34372812509536743,1.0448216617107384,4.544382095336914,50,2,0.97,0.03,1,1,1,2,64,4,32,1.4418116807937622
Q-control,36,5.486428926815279e-05,42.60710242435617,0.9884955286979675,0.9936637878417969,nan,nan,0.001215778524056077,0.9879171848297119,0.9896194934844971,0.9772600531578064,0.9741430282592773,0.9730324745178223,0.015476465225219727,0.0006228198762983084,0.0007272999500855803,0.00011030476889573038,0.0001138612879003631,39.574057109475795,0.3697345367900561,0.6731534797007488,2.2037731750742258,0.2754716468842782,0.4350794553756714,1.3531264901161186,4.286488056182861,50,2,0.95,0.05,1,1,1,2,64,4,32,1.4418116807937622
Q-control,37,6.902957102283835e-05,41.6096482548165,0.9856160879135132,0.9916276931762695,nan,nan,0.000994847621768713,0.9841406941413879,0.9874792098999023,0.9701340794563293,0.9668682813644409,0.9643744230270386,0.020610928535461426,0.00026199230342172086,0.0002956631069537252,0.00011906055442523211,0.00013512427904061042,39.24232099415222,0.28209834120898314,0.5040618791192613,1.9725711533328059,0.24657139416660073,0.4609653651714325,1.5517590641975378,5.240506649017334,50,2,1.0,0.0,1,1,1,2,64,4,32,1.4418116807937622
Q-control,38,9.764306741999462e-05,40.10358585843825,0.9900993704795837,0.9945870637893677,nan,nan,0.0008159155258908868,0.9893486499786377,0.9915052652359009,0.9804354310035706,0.9743619561195374,0.9738852977752686,0.017143309116363525,0.0002447926963213831,0.0002782102092169225,0.00017505945288576186,0.00017811865109251812,37.568144331692594,0.30909067232178866,0.5487702781173937,1.9209124862105342,0.24011406077631678,0.5728480219841003,1.827151179313659,6.210385799407959,50,2,0.99,0.01,1,1,1,2,64,4,32,1.4418116807937622
Q-control,39,2.4974127882160246e-05,46.0250966877079,0.9823689460754395,0.9929894208908081,nan,nan,0.0013495226157829165,0.9818142056465149,0.9840855598449707,0.9680760204792023,0.9431205987930298,0.9295734763145447,0.04096496105194092,0.00028375806869007647,0.0003913511463906616,4.717945557786152e-05,5.658615282300161e-05,43.26247074914916,0.36990873311427,0.692585400920417,2.4512630304505127,0.3064078788063141,0.3097015917301178,0.8912205606698985,3.0559279918670654,50,2,0.95,0.05,1,1,1,2,64,4,32,1.4418116807937622
Q-control,40,0.00012481333396863192,39.03739015938333,0.991007924079895,0.995592474937439,nan,nan,0.0022867689840495586,0.9883686304092407,0.9915112853050232,0.9761250913143158,0.9652907848358154,0.9570311307907104,0.026220500469207764,0.0013643638230860233,0.001598721370100975,0.0002801110967993736,0.0004009531476185657,35.52669685952319,0.428477812016794,0.9817332331549451,3.4665146955023975,0.4333143369377997,0.6569749712944031,2.3144992351531966,7.438724517822266,50,2,0.85,0.15,0,0,0,2,64,4,32,1.4418116807937622
Q-control,41,3.864193058689125e-05,44.12941183957148,0.9929296374320984,0.994780421257019,nan,nan,0.0006122591439634562,0.993599534034729,0.9948921203613281,0.9864677786827087,0.9854344725608826,0.9849134683609009,0.009457647800445557,0.00015200511552393436,0.00016749011410865933,0.00010000837210100144,0.00012246102778590284,39.99963641949277,0.5581755273118174,1.0721342693995808,3.2236122013640953,0.4029515251705119,0.3077337145805359,1.1186825215816476,4.92783260345459,50,2,0.91,0.09,1,0,3,2,64,4,32,1.4418116807937622
Q-control,42,4.3353855289751664e-05,43.62972276351157,0.9883750677108765,0.9940212965011597,nan,nan,0.0010660439729690552,0.9875782132148743,0.9906299114227295,0.9719239771366119,0.9608815908432007,0.9600585699081421,0.02974832057952881,0.0006061152671463788,0.0007738647982478142,0.00010338510037399828,0.00011274419557594229,39.855420462673464,0.45255262027434806,0.8838235760341058,2.831482929297275,0.35393536616215937,0.40096598863601685,1.2312347710132598,5.4732208251953125,50,2,0.98,0.02,1,1,1,2,64,4,32,1.4418116807937622
