method,image_index,global_mse,top25_local_psnr,patch_mse_p95,patch_mse_p99,full_lpips,ciede2000_global,ciede2000_top10,gini,ber30
Global+OKLab-only,29,0.0001913943124236539,36.12568535411823,0.0002525588352000341,0.0002595736848888919,0.0018357299268245697,3.7063035569913154,5.173994866687858,0.10754116041813705,0.1
Global+OKLab-only,30,0.00020985583250876516,36.08123318247742,0.0002508868492441252,0.00026344919169787314,0.0016252804780378938,4.031176001325548,5.4193617573244826,0.08206342717860637,0.065625
Global+OKLab-only,31,0.000215795764233917,35.91991857166158,0.00026160246488871053,0.0002680256046005525,0.001798412878997624,3.3306173497176133,4.734104854629625,0.07608994317902433,0.046875
Global+OKLab-only,32,0.0002173367392970249,36.097145541527965,0.0002489827456884086,0.0002512212027795613,0.0018764042761176825,3.415589443891804,4.753402067162048,0.0523932441644089,0.071875
Global+OKLab-only,33,0.00020532013149932027,36.291805111793906,0.00023790511113475077,0.00024326113853021525,0.003421079833060503,4.234066327345829,5.653739606255595,0.06224551149632228,0.11875
Global+OKLab-only,34,0.00021318714425433427,36.1051958115286,0.00025004307099152356,0.00025435301067773254,0.0014711502008140087,3.9653336428957573,5.601673770460684,0.06524190085418985,0.140625
Global+OKLab-only,35,0.0003310074098408222,32.688458189182555,0.0005618498689727858,0.0006744466634700074,0.0025625440757721663,3.673812369210964,5.850763263891903,0.2588575611428911,0.15
Global+OKLab-only,36,0.00020031513122376055,36.4731144058707,0.00022709210315952078,0.00023510595347033813,0.0019392124377191067,3.8216169626030023,5.3338273579234885,0.05671966562570303,0.125
Global+OKLab-only,37,0.0003115955332759768,34.346807818241004,0.00036998461291659623,0.0003869115520501509,0.0014030736638233066,2.7488912003768746,4.042974894800561,0.07554432690461503,0.109375
Global+OKLab-only,38,0.00046564333024434745,32.45648980445319,0.0005755836027674377,0.0005933113279752433,0.0026942132972180843,3.104843275638359,5.3494558422021345,0.11350616540598714,0.10625
Global+OKLab-only,39,0.00017590810602996498,35.91218893161012,0.00028046481747878715,0.0003290055887191556,0.003674047300592065,2.920464523983341,4.667077786321371,0.1770253204134989,0.109375
Global+OKLab-only,40,0.000244776310864836,35.52539974852755,0.0002841730820364319,0.00030669523839605973,0.0014556082896888256,3.880013599994527,5.3666098395501525,0.0597542011661141,0.11875
Global+OKLab-only,41,0.00033859163522720337,33.33911178139749,0.0005101856513647363,0.0005115154053783044,0.0018044348107650876,2.0551798473698,3.740584856947818,0.13873992440166727,0.13125
Global+OKLab-only,42,0.00021561655739787966,35.927799077741554,0.0002606582347652875,0.00026842509832931684,0.0017227045027539134,3.6894063490954068,5.336258127202603,0.08392756000084851,0.125
Global+OKLab-only,43,0.0002678627206478268,35.00049697781731,0.00032435994944535196,0.0003276501258369535,0.007506873458623886,4.510772845437714,5.833126909338296,0.07461101755038735,0.146875
