method,image_index,global_mse,global_psnr,global_ssim,global_ms_ssim,global_dists,global_gmsd,full_lpips,patch_ssim_mean,patch_ssim_median,patch_ssim_p10,patch_ssim_bottom10_mean,patch_ssim_min,ssim_tail_gap,patch_lpips_top10_mean,patch_lpips_max,patch_mse_top25,patch_mse_p95,top25_local_psnr,gini,cv,top10_over_mean,top10_energy_share
TrustMark P,1,1.22498968266882e-05,49.118675690781174,0.9990631937980652,0.9996129274368286,nan,nan,0.0002208458899985999,0.999038815498352,0.9993816018104553,0.9983575642108917,0.996993899345398,0.9959158897399902,0.002387702465057373,0.0002449675521347672,0.0003238472854718566,1.796309334167745e-05,1.93735600078071e-05,47.45618873373485,0.18668584624411105,0.3358014499347995,1.6473232681884422,0.20591540852355528
TrustMark P,2,1.4801748875470366e-05,48.296869682473236,0.9993174076080322,0.9997236132621765,nan,nan,0.0003700345114339143,0.999164342880249,0.9993454217910767,0.9985378980636597,0.998254120349884,0.9979718923568726,0.001091301441192627,0.00019868146046064794,0.00022727409668732435,2.188411235692911e-05,2.305178122696816e-05,46.59871064143652,0.18964553147836388,0.33941659495676746,1.6276317615393145,0.20345397019241432
TrustMark P,3,1.301645261264639e-05,48.85507358368895,0.9983725547790527,0.9993863105773926,nan,nan,0.0004173723282292485,0.9983365535736084,0.99852055311203,0.9970711767673492,0.9966775178909302,0.9966027736663818,0.0018430352210998535,0.00030904251616448164,0.0003285738348495215,1.597943264641799e-05,1.664148703639512e-05,47.96438644477854,0.10965218321389687,0.1933093441973772,1.2893610827508024,0.1611701353438503
TrustMark P,4,1.1790899407060351e-05,49.28453065759433,0.9986265897750854,0.9993562698364258,nan,nan,0.0004608591552823782,0.9984790086746216,0.9986652731895447,0.9971553683280945,0.9970340132713318,0.9969479441642761,0.0016312599182128906,0.0002726541424635798,0.00035038823261857033,1.578294177306816e-05,1.631108580113505e-05,48.01812045693268,0.15712651233978175,0.2774068624362725,1.408093483977586,0.17601168549719826
TrustMark P,5,1.4753877621842548e-05,48.310938231806695,0.9985978007316589,0.9994616508483887,nan,nan,0.0003802235587500036,0.9984005689620972,0.9988052248954773,0.9972603023052216,0.9959632158279419,0.9950723648071289,0.0028420090675354004,0.00030465004965662956,0.0004341434105299413,2.1108167857164517e-05,2.1836554878973402e-05,46.755494608683065,0.18412815677922428,0.32587733939855146,1.4814125121883355,0.18517656402354193
TrustMark P,6,2.1762398318969645e-05,46.62293245035488,0.9932037591934204,0.997604489326477,nan,nan,0.0002562164736445993,0.992396354675293,0.9937713742256165,0.9852978885173798,0.9847221970558167,0.9843725562095642,0.009049177169799805,0.00015529751544818282,0.0001842027995735407,3.743927663890645e-05,3.995358383690473e-05,44.266725508197815,0.2924475305489354,0.5123586178014937,1.8821364191753471,0.2352670523969184
TrustMark P,7,1.411685207131086e-05,48.502621361791384,0.9972791075706482,0.9987059831619263,nan,nan,0.00013832762488164008,0.997295081615448,0.9975061416625977,0.9951992034912109,0.9938616752624512,0.9929794669151306,0.0036444664001464844,0.00011188576172571629,0.00011323450598865747,1.9954262825194746e-05,2.10368284569995e-05,46.99964311822015,0.1476525970584116,0.2679855797745847,1.5062389836037864,0.1882798729504733
TrustMark P,8,1.0927350558631588e-05,49.614851241661945,0.9992236495018005,0.9996956586837769,nan,nan,0.0002732838620431721,0.9990712404251099,0.9992310404777527,0.9983935654163361,0.9981180429458618,0.9979449510574341,0.0011129975318908691,0.00021443667355924845,0.00022809692018199712,1.376173531753011e-05,1.453142317586753e-05,48.613267992902045,0.10664817463950561,0.19467364059256761,1.3778096506377577,0.17222620632971972
TrustMark P,9,1.5081465789990034e-05,48.215564466911786,0.9989501237869263,0.9994825720787048,nan,nan,0.00037749879993498325,0.9989532232284546,0.9989389181137085,0.9984279572963715,0.9983049035072327,0.9982601404190063,0.0006340146064758301,0.00022577287745662034,0.00030404949211515486,2.0486162611632608e-05,2.074397661999683e-05,46.88539384335242,0.15498319561055257,0.2720626605679874,1.4328036150800991,0.1791004518850124
TrustMark P,10,1.2674787285504863e-05,48.97059320476413,0.9972702860832214,0.9988493323326111,nan,nan,0.000374075083527714,0.9970663785934448,0.9970108866691589,0.9951110184192657,0.9946266412734985,0.9941751956939697,0.0023842453956604004,0.0003092656552325934,0.00034087448148056865,1.691556826699525e-05,1.7284768091485603e-05,47.717134078035926,0.13216181232305393,0.24499644554351896,1.4564304510921522,0.18205380638651902
