replicate,global_bootstrap_mse,ours_bootstrap_mse,global_paper_psnr,ours_paper_psnr,ours_minus_global_paper_psnr
7828,0.00024099519476294517,0.00020930200262228026,36.179916167975065,36.79226616268839,0.6123499947133269
7829,0.000252283617737703,0.00022007159830536693,35.981109498673334,36.574360024042115,0.5932505253687808
7830,0.0002522992793819867,0.00021941978571703657,35.980839899139504,36.58724213405347,0.6064022349139648
7831,0.00024183048692066222,0.00021198836824623868,36.16488949683708,36.73687968057386,0.57199018373678
7832,0.0002272416159394197,0.0001992771035293117,36.43512131069318,37.00542597847999,0.5703046677868144
7833,0.0002360823651542887,0.00020806866639759393,36.26936452574891,36.817933164015614,0.5485686382667012
7834,0.00024386673845583573,0.00021403735503554343,36.12847430068227,36.69510424454304,0.566629943860768
7835,0.00022960654081543907,0.0002031887270277366,36.39015744324625,36.92100390509458,0.5308464618483271
7836,0.00023337791033554823,0.00020425590570084752,36.319402531466125,36.89825377751674,0.5788512460506183
7837,0.00023870018107118084,0.00020849692140473053,36.22147251549656,36.809003532888255,0.5875310173916972
7838,0.00020994909136788918,0.00018189834925578908,36.77886000591489,37.40171242180908,0.6228524158941866
7839,0.00023660938750253991,0.00020624955184757709,36.25968028686641,36.85606986440271,0.5963895775363
7840,0.00024526979919755834,0.00021556528663495554,36.10355924477369,36.664211740821585,0.5606524960478936
7841,0.00022039802017388864,0.00019179330061888322,36.567923110517285,37.171665668997946,0.6037425584806613
7842,0.0002356322651030496,0.00020600766903953628,36.27765241912102,36.86116611866007,0.5835136995390542
7843,0.00024763217254076153,0.00021641824248945342,36.06192932150978,36.64706134145011,0.5851320199403318
7844,0.0002329512478900142,0.00020490391732892022,36.327349587495846,36.884497387287645,0.5571477997917995
7845,0.00022843763057608157,0.00019915511657018215,36.41232353117097,37.008085314858775,0.5957617836878057
7846,0.00024337180104339496,0.00021378586359787732,36.13729743939635,36.700210155183136,0.562912715786787
7847,0.0002436530150589533,0.0002121287854970433,36.13228210117432,36.734003944995685,0.6017218438213661
7848,0.0002444641460897401,0.0002143807365791872,36.11784826917388,36.68814241242413,0.5702941432502513
7849,0.000251775709039066,0.00022040407900931314,35.989861723186024,36.5678037227559,0.5779419995698731
7850,0.0002315560428542085,0.00020216652832459657,36.353438808588436,36.942907467036406,0.58946865844797
7851,0.00023274648003280163,0.00020191451854771004,36.33116878397706,36.94832452237837,0.6171557384013084
7852,0.00023562875430798157,0.00020589303632732482,36.277717127164436,36.86358341753797,0.5858662903735308
7853,0.0002339589930488728,0.0002036324329674244,36.3086025649259,36.91153049827351,0.6029279333476083
7854,0.0002219119414803572,0.0001941154187079519,36.53819326972655,37.11939966961815,0.5812063998915988
7855,0.00023723599384538828,0.000207496756920591,36.24819418416867,36.82988686722965,0.5816926830609859
7856,0.00023946071130922063,0.00020964397670468317,36.207657317746595,36.785176108253886,0.5775187905072912
7857,0.00024579038756201044,0.00021619818202452733,36.09435105625345,36.65147962279265,0.5571285665391983
7858,0.00023284154711291193,0.00020232739887433127,36.3293952371301,36.939453017363064,0.6100577802329639
7859,0.00022816140379291027,0.00019664794177515432,36.41757819766346,37.06310594793878,0.6455277502753205
7860,0.00023296584404306487,0.00020283158839447423,36.327077477764796,36.928644083273376,0.6015666055085802
7861,0.00024886844592401756,0.00021811061771586537,36.04030164178049,36.61323192270126,0.5729302809207724
7862,0.00025352049386128783,0.00022094569721957668,35.95986927805515,36.55714451635022,0.5972752382950688
7863,0.00022787169174989685,0.00020014576584799216,36.423096233954155,36.9865359310973,0.5634396971431457
7864,0.0002286248977179639,0.00019991894863778724,36.40876475809824,36.99146040805216,0.5826956499539193
7865,0.0002421319839777425,0.00021221041621174663,36.1594783944061,36.73233302846268,0.5728546340565828
7866,0.0002375074487645179,0.00020744103414472193,36.24322765379751,36.83105331168194,0.5878256578844301
7867,0.00022351491497829556,0.0001945550597156398,36.50693491428476,37.10957470190444,0.6026397876196796
7868,0.00024222925858339295,0.00021168151579331607,36.157734001117824,36.743170632816884,0.5854366316990607
7869,0.000240930498985108,0.00021120040386449546,36.18108219916412,36.75305255664958,0.5719703574854549
7870,0.0002416287738014944,0.00021090766036650167,36.168513500213685,36.759076459860566,0.5905629596468813
7871,0.00024214095406932757,0.0002116208043298684,36.159317507394995,36.74441639276153,0.5850988853665342
7872,0.00023923618951812386,0.00020870973268756642,36.211731235163725,36.80457298160478,0.5928417464410529
7873,0.000241962923319079,0.00021123167243786156,36.16251177125195,36.752409623990985,0.5898978527390355
7874,0.0002456206292845309,0.00021612965763779358,36.097351602988134,36.652856344833346,0.5555047418452119
7875,0.00023853088641772046,0.00020749130722833798,36.22455377914038,36.830000931776475,0.6054471526360956
7876,0.0002409890459966846,0.00021038807404693215,36.180026975550575,36.76978882020218,0.5897618446516049
7877,0.00023191148648038507,0.0002023165815626271,36.34677740402521,36.93968521648181,0.5929078124566018
7878,0.0002457076229620725,0.0002150443513528444,36.09581369531281,36.67471960729089,0.578905911978076
7879,0.00022731102420948447,0.0001993879716610536,36.43379501198718,37.00301044614108,0.5692154341539037
7880,0.0002426037602708675,0.0002125557090039365,36.15102472009297,36.725272258857096,0.5742475387641264
7881,0.0002527485133032314,0.00021914545097388328,35.97311390301162,36.59267540010913,0.6195614970975072
7882,0.0002409928909037262,0.00021138960437383503,36.17995768573767,36.74916374048886,0.5692060547511915
7883,0.00024174998776288703,0.00021239320252789185,36.166335392284594,36.72859386610657,0.5622584738219771
7884,0.0002337782277027145,0.00020255620212992654,36.3119593812228,36.93454454482045,0.6225851635976483
7885,0.0002250435875612311,0.00019612753647379577,36.477333574264534,37.07461426734773,0.5972806930831922
7886,0.0002452183119021356,0.00021349585062125699,36.10447101604261,36.706105612469344,0.6016345964267344
